Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Dead Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Single Arm Kettlebell Half Kneeling Side Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Rectus Abdominis,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Upper Body,,Compound,Unilateral,Grinds
Single Arm Kettlebell Bottoms Up Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Alternating Double Kettlebell Bottoms Up Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2,,,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Single Arm Kettlebell Dead Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Dead Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1,,,Standing,Single Arm,Alternating,Neutral,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Push Up to L Sit,Video Demonstration,,Expert,Chest,Pectoralis Major,Rectus Abdominis,,Kettlebell,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Push Up to L Sit,Video Demonstration,,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis ,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Half Kneeling,Single Arm,Alternating,Pronated,Other,Single Exercise,Anti-Rotational,,,Transverse Plane,,,,Other,Compound,Unilateral,
Single Arm Kettlebell Start Stop Squat Clean Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Ballistics
Alternating Single Arm Kettlebell Start Stop Squat Clean Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Alternating,Pronated,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Ballistics
Double Kettlebell Start Stop Squat Clean Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Ballistics
Barbell Single Leg Standing Bent Knee Overhead Press,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Single Arm Kettlebell Bent Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,Rotational,,Transverse Plane,,,,Push,Compound,Unilateral,Grinds
Single Arm Barbell Bent Press,,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Vertical Push,Rotational,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Grinds
Alternating Single Arm Kettlebell Around the World High Catch to Squat,,,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Alternating,Pronated,Other,Single Exercise,Anti-Rotational,Knee Dominant,,Transverse Plane,,,,Push,Compound,Unilateral,
Single Arm Kettlebell Cossack Squat Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Frontal Plane,,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Cossack Squat Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Frontal Plane,,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Alternating Cossack Squat Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Frontal Plane,,,Full Body,Push,Compound,Unilateral,
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,,,Standing,Single Arm,Alternating,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Bottoms Up Overhead Knee Over Toes Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Knee Over Toes Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Knee Over Toes Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Overhead Bulgarian Split Squat ,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Single Leg Supported,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Bulgarian Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,,,Single Leg Supported,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Single Arm Barbell Overhead Bulgarian Split Squat ,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Single Leg Supported,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Swing to Bottoms Up Horn Grip Goblet Squat,,,Intermediate,Glutes,Gluteus Maximus,Quadriceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Continuous,Bottoms Up Horn Grip,Front Rack,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Kettlebell Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Video Demonstration,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Standing Wall Angels,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Bodyweight,0,,,Standing,Double Arm,Continuous,No Grip,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Double Kettlebell Clean to Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Double Kettlebell Bottoms Up Clean to Sots Press,,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
Plate Lu Raise,Video Demonstration,Video Explanation,Novice,Shoulders,Infraspinatus,Posterior Deltoids,,Weight Plate,2,,,Standing,Double Arm,Continuous,Other,Overhead,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,,Compound,Bilateral,
Single Arm Plate Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis ,,Weight Plate,1,,,Standing,Single Arm,Continuous,Flat Palm,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Single Arm Plate Turkish Get Up,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Weight Plate,1,,,Supine,Single Arm,Continuous,Flat Palm,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Plate Steering Wheel,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,,,Weight Plate,1,,,Standing,Double Arm,Continuous,Neutral,Other,Single Exercise,Isometric Hold,Rotational,,Frontal Plane,,,Upper Body,,Compound,Bilateral,
Kettlebell Half Kneeling Alternating Halo,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,,,Half Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Mobility
Kettlebell Tall Kneeling Alternating Halo,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,,,Tall Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Mobility
Kettlebell Tall Kneeling Alternating Hip to Halo,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Medial Deltoids,,Kettlebell,1,,,Tall Kneeling,Double Arm,Alternating,Bottoms Up Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Mobility
Double Kettlebell Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Double Kettlebell Single Leg Standing Bent Knee Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Double Kettlebell Bottoms Up Single Leg Standing Bent Knee Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
Suspension Single Leg Standing Bent Knee Reverse Fly,,,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,
Suspension Reverse Fly,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Standing,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,
Suspension Single Leg Standing Bent Knee Y Raise,,,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,
Suspension Single Leg Standing Bent Knee Face Pull,,,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,
Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,,,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Contralateral Overhead Press,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Suitcase Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Single Leg Supported,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bulgarian Split Squat Thruster ,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Single Leg Supported,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Single Leg Supported,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Single Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Balance
Barbell Overhead Pistol Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Single Leg Standing,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,
Suspension Cuban Press,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,1,,,Standing,Double Arm,Continuous,Pronated,No Load,Single Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,
Suspension Single Leg Standing Bent Knee Cuban Press,,,Intermediate,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,1,,,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,Single Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,
Double Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,2,,,Supine,Double Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Bilateral,Grinds
Single Arm Barbell Overhead Knee Over Toes Split Squat,,,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Barbell Knee Over Toes Split Squat Thruster,,,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Barbell Knee Over Toes Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Knee Over Toes Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Knee Over Toes Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Double Kettlebell Bottoms Up Overhead Knee Over Toes Split Squat ,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Knee Over Toes Split Squat Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,1,,,Knee Over Toes Split Stance Standing,Single Arm,Continuous,Bottoms Up,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Single Arm Barbell Bulgarian Split Squat Thruster,,,Expert,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Barbell,1,,,Single Leg Supported,Single Arm,Continuous,Pronated,Overhead,Combo Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,
Single Arm Barbell Windmill,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Bodyweight Bent Leg Windmill,,,Novice,Abdominals,Obliques,,,Bodyweight,0,,,Standing,Double Arm,Continuous,No Grip,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Bodyweight Windmill,Video Demonstration,,Novice,Abdominals,Obliques,,,Bodyweight,0,,,Standing,Double Arm,Continuous,No Grip,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Superband Half Knee Hover Pallof Press,,,Intermediate,Abdominals,Obliques,,,Superband,1,,,Half Knee Hover,Double Arm,Continuous,Neutral,Other,Single Exercise,Anti-Rotational,,,Frontal Plane,,,Midsection,,Compound,Unilateral,
Single Arm Barbell Turkish Get Up,,,Expert,Abdominals,Obliques,Rectus Abdominis,,Barbell,1,,,Supine,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
Single Arm Barbell Single Leg Standing Bent Knee Contralateral Overhead Press ,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,,Barbell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Single Arm Barbell Single Leg Standing Bent Knee Ipsilateral Overhead Press,,,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,,Barbell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Balance
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Single Leg Supported,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Snatch to Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Standing,Double Arm,Continuous,Pronated,Overhead,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,,Compound,Bilateral,Ballistics
